"anio" "ppAcc" "mTmax" "mTmin"
1972 1091.2 28.5857142857143 17.2387755102041
1973 1439.3 26.3794520547945 13.7679452054795
1974 719.8 26.5043835616438 13.7942465753425
1975 978.9 25.7471232876712 13.8079452054795
1976 1368.4 24.6551912568306 13.2852459016393
1977 851.9 26.307397260274 13.8506849315068
1978 1547.4 26.2915068493151 14.2698630136986
1979 984.7 26.6830136986301 13.8013698630137
1980 867.4 26.6866120218579 13.8882513661202
1981 1116.7 24.6580821917808 14.4315068493151
1982 599.6 25.8997198879552 13.9159663865546
1983 1155.8 25.8085399449036 13.6460055096419
1984 530.8 25.5933333333333 13.5406666666667
1985 749.7 26.441095890411 14.0479452054795
1986 593.1 26.8914473684211 13.4194078947368
1987 869.5 26.0179063360882 13.1944903581267
1988 1036.6 25.9098360655738 13.7472677595628
1989 613.8 26.7728706624606 13.711356466877
1990 991.1 26.7285714285714 13.7928571428571
1991 854.2 27.8690265486726 15
1992 776.9 27.7320872274143 15.3084112149533
1993 1154.9 26.1940789473684 14.0230263157895
1994 926.4 27.9341317365269 15.7874251497006
1995 1104 31.6580459770115 19.4195402298851
1996 839.7 29.8948087431694 14.8989071038251
1997 966.9 27.713698630137 14.6246575342466
1998 927.9 30.9301369863014 15.8753424657534
1999 774.1 30.9332386363636 15.1448863636364
2000 1211.8 30.1934097421203 15.6489971346705
2001 1233.4 29.016717325228 15.951367781155
2002 1148.5 30.2924698795181 16.0045180722892
2003 1565.7 28.8708708708709 16.6441441441441
2004 1210.5 27.8024590163934 15.9699453551913
2005 1396.7 28.3917808219178 15.6520547945205
2006 775.6 30.0232876712329 15.3643835616438
2008 1313.7 30.2622950819672 15.1707650273224
2009 666.7 30.7520547945205 16.1328767123288
