"anio" "mes" "ppAcc" "mTmax" "mTmin"
1972 4 15.7 29.0666666666667 16.95
1972 5 149.9 26.741935483871 19.5
1972 6 255.3 30.4833333333333 20.2
1972 7 222.8 30.7096774193548 20.258064516129
1972 8 104.7 32.5806451612903 19.3548387096774
1972 9 191.8 31.5666666666667 20.3666666666667
1972 10 148.8 27.4677419354839 17.0645161290323
1972 12 2.2 20.241935483871 4.40322580645161
1973 1 27 17.2903225806452 3.95161290322581
1973 2 62.6 17.5714285714286 6
1973 3 2.3 27.8870967741935 12.3709677419355
1973 4 27.7 28.6833333333333 13.9166666666667
1973 5 43.5 30.7903225806452 16.5483870967742
1973 6 403.6 30.2833333333333 19.35
1973 7 174.8 31.5161290322581 20.4677419354839
1973 8 375.8 29.8387096774194 20.0806451612903
1973 9 202.8 29.55 19.7
1973 10 62 26.6129032258065 16.2903225806452
1973 11 41.8 24.6666666666667 11.8333333333333
1973 12 15.4 21.258064516129 4.26774193548387
1974 1 29.5 19.5354838709677 6.44838709677419
1974 2 0 21.7857142857143 4.125
1974 3 50.7 25.8225806451613 12.7903225806452
1974 4 13.8 27.2833333333333 15.2666666666667
1974 5 128 31.5161290322581 19.2096774193548
1974 6 176.2 32.7666666666667 19.1833333333333
1974 7 47 31.8870967741935 18.5483870967742
1974 8 35.1 34.2903225806452 20.1451612903226
1974 9 180.2 27.7833333333333 17.85
1974 10 43 25.258064516129 14.5
1974 11 5.4 21.5333333333333 10.1333333333333
1974 12 10.9 18.241935483871 6.62903225806452
1975 1 7 20.3709677419355 4.7258064516129
1975 2 27 19.8035714285714 7.30357142857143
1975 3 7.8 24.4870967741935 11.3064516129032
1975 4 30.7 29.0666666666667 16.2
1975 5 38.3 29.9838709677419 19.4677419354839
1975 6 20.8 32.7666666666667 20.1166666666667
1975 7 344.4 31.2258064516129 19.9677419354839
1975 8 163.7 29.5806451612903 20.3870967741935
1975 9 261.8 26.7666666666667 17.2666666666667
1975 10 42.6 25.3387096774194 13.8709677419355
1975 11 6.4 21.4166666666667 8.65
1975 12 28.4 17.8096774193548 6.02903225806452
1976 1 3.6 18.0354838709677 3.48387096774194
1976 2 0.3 22.3448275862069 4.89655172413793
1976 3 51.2 23.941935483871 11.5129032258065
