"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 0 23.0967741935484 3.43548387096774
1970 2 7.1 23.8571428571429 7.07142857142857
1970 3 0 28.7741935483871 8.40322580645161
1970 4 0 32.6666666666667 12.3833333333333
1970 5 14 31.9677419354839 12.241935483871
1970 6 170.2 29.1666666666667 14.5833333333333
1970 7 94.5 28.0645161290323 13.9516129032258
1970 8 94.8 28.4516129032258 13.8064516129032
1970 9 188.5 26.6166666666667 13.7666666666667
1970 10 8.2 30 10.0161290322581
1970 11 4.5 28.85 5.16666666666667
1970 12 0 29.4193548387097 5.04838709677419
1971 1 0 29.1290322580645 4.70967741935484
1971 2 0 30.0535714285714 3.625
1971 3 13 32.8064516129032 8.19354838709677
1971 4 0 32.9 8.12666666666667
1971 5 78 34.7741935483871 13.4516129032258
1971 6 294 29.1666666666667 14.2
1971 7 73.5 29.6129032258065 13.5967741935484
1971 8 123 27.8870967741935 13.7096774193548
1971 9 282 28.2166666666667 14.2666666666667
1971 10 17.5 28.258064516129 12.8387096774194
1971 11 11.5 27.3166666666667 8.81666666666667
1971 12 8 26.3064516129032 7.70967741935484
1972 1 1 25.8870967741935 6.45161290322581
1972 2 0 27.8035714285714 5.66071428571429
1972 3 1.5 30.2903225806452 8.56451612903226
1972 4 1.5 33.3833333333333 12.7
1972 5 107 33.1129032258064 14.1290322580645
1972 6 38.5 28.7833333333333 13.9833333333333
1972 7 99.5 27.2096774193548 13.3870967741935
1972 8 48.5 28.5161290322581 12.9354838709677
1972 9 128 28.2333333333333 13.0833333333333
1972 10 19.5 27.6774193548387 11.741935483871
1972 11 10.5 26.95 10.2333333333333
1972 12 0 24.3548387096774 5.44516129032258
1973 1 0.5 24.9838709677419 3.80322580645161
1973 2 8 26.8214285714286 5.83928571428571
1973 3 0 30.9838709677419 7.17741935483871
1973 4 32.5 31.2333333333333 9.15
1973 5 17.5 33.0967741935484 12.8709677419355
1973 6 169 29.7166666666667 13.8666666666667
1973 7 172.5 27.1451612903226 13.8387096774194
1973 8 322.5 25.8709677419355 13.5322580645161
1973 9 104 27.3666666666667 12.9
1973 10 37 25.4032258064516 11.5483870967742
1973 11 0 25.2833333333333 6.96666666666667
1973 12 0 22.3225806451613 2.83870967741935
1974 1 1 25.6451612903226 5.2741935483871
1974 2 2.5 26.3035714285714 4.53571428571429
1974 3 8.5 29.8387096774194 6.88709677419355
1974 4 23 30.9 10.4666666666667
1974 5 6.5 32.5645161290323 12.1612903225806
1974 6 104.5 28.4833333333333 13.4333333333333
1974 7 164.5 25.9677419354839 12.4838709677419
1974 8 129 27.3225806451613 12.9516129032258
1974 9 112.5 26.45 12.2833333333333
1974 10 3 25.9838709677419 9.08064516129032
