"anio" "ppAcc" "mTmax" "mTmin"
1970 689.6 24.2530612244898 9.07469387755102
1971 895.2 24.3232876712329 8.17753424657534
1972 575.6 24.8315068493151 8.37232876712329
1973 746.4 24.5328767123288 8.26931506849315
1974 588.8 24.5232876712329 7.66
1975 741.7 24.413698630137 7.46164383561644
1976 831.7 23.1 7.93013698630137
1977 668.1 22.4712328767123 7.83287671232877
1978 683.3 22.2011049723757 8.31906077348066
1979 376.2 22.6931506849315 7.93835616438356
1980 655.1 22.727397260274 8.2586301369863
1981 762.7 22.1041095890411 7.71232876712329
1982 472.1 23.2753424657534 8.50821917808219
1983 594.4 22.7228021978022 8.54807692307692
1984 674.2 22.0465753424658 8.22328767123288
1985 599.3 22.0180921052632 8.38322368421053
1986 715.8 22.6917808219178 8.42602739726027
1987 578.9 23.0219178082192 8.53671232876712
1988 615 23.5068493150685 8.56438356164383
1989 540.6 24.0191780821918 8.13698630136986
1990 718.8 22.8931506849315 8.76301369863014
1991 834.3 22.5515068493151 8.72465753424657
1992 932.7 21.2609289617486 8.49453551912568
1993 612.8 22.713698630137 8.35342465753425
1994 731.8 22.6087671232877 8.67150684931507
1995 316.9 21.5816993464052 8.47712418300654
1996 460.1 23.0642076502732 8.13579234972678
1997 527.8 22.8736263736264 8.18434065934066
1998 616.6 23.7260273972603 8.9372602739726
1999 337.6 23.0328767123288 7.69479452054795
2000 491.5 23.7390710382514 8.05464480874317
2001 536.7 23.8795013850416 8.32686980609418
2002 678.9 23.5289634146341 8.63109756097561
2003 808.3 23.4903846153846 8.93543956043956
2004 944.6 22.6734972677596 8.31147540983607
2005 465.9 24.3479452054795 8.54657534246575
2006 727.1 23.7808219178082 8.47698630136986
2007 935.7 23.4657534246575 8.47260273972603
2008 644.3 23.6092896174863 8.11256830601093
2009 550.5 24.113698630137 8.46219178082192
