"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 0 25.0806451612903 2.20967741935484
1970 2 14 25.7321428571429 4.5
1970 3 0 30.5806451612903 5.38709677419355
1970 4 0 35 8.31666666666667
1970 5 4.2 34.4838709677419 10.7096774193548
1970 6 197.2 30.2666666666667 13.65
1970 7 136.5 27.6129032258065 12.5483870967742
1970 8 142.6 27.2258064516129 12.5806451612903
1970 9 278.8 25.7 12
1970 10 37.4 28.0322580645161 7.69354838709677
1970 11 7.6 26.3166666666667 3.3
1970 12 0 26.8387096774194 2.19354838709677
1971 1 7.2 26.4354838709677 2.66129032258065
1971 2 0 27.8571428571429 1.67857142857143
1971 3 1.5 31.5967741935484 6.11290322580645
1971 4 0 32.7333333333333 6.1
1971 5 74.1 33.7258064516129 11.1774193548387
1971 6 326.3 27.7166666666667 13.0333333333333
1971 7 65.4 27.0161290322581 11.7258064516129
1971 8 222 25.4354838709677 11.7096774193548
1971 9 240.8 25.8 12.5833333333333
1971 10 35.8 26.2903225806452 9.75806451612903
1971 11 5.4 26.1333333333333 4.36666666666667
1971 12 25.5 24.8548387096774 4.88709677419355
1972 1 1.2 25.1129032258065 4
1972 2 0 26.4107142857143 1.85714285714286
1972 3 8.2 30.0483870967742 6
1972 4 22.1 34.15 8.43333333333333
1972 5 98.6 34.3225806451613 10.6612903225806
1972 6 111.1 28.5166666666667 12.7666666666667
1972 7 160.9 26.7903225806452 12.8548387096774
1972 8 47.6 27.9516129032258 11.241935483871
1972 9 239.5 27.65 12.2333333333333
1972 10 46.5 27.1612903225806 10.2741935483871
1972 11 35.7 25.2 9.63333333333333
1972 12 6.3 23.5806451612903 4.16129032258065
1973 1 4 23.758064516129 2.37096774193548
1973 2 6.9 26.3571428571429 5.28571428571429
1973 3 0 29.8387096774194 7.66129032258065
1973 4 22 30.6833333333333 9.06666666666667
1973 5 54.3 31.6774193548387 12.241935483871
1973 6 88.8 29.55 13.9833333333333
1973 7 319.4 26.4516129032258 13
1973 8 205.5 25.8387096774194 13.1451612903226
1973 9 163.9 27.4 12.2666666666667
1973 10 54.1 25.758064516129 10.5483870967742
1973 11 2 25.6166666666667 5.81666666666667
1973 12 0 22.6774193548387 2.35483870967742
1974 1 4.1 24.8870967741935 4.41935483870968
1974 2 17.8 26.0178571428571 4.55357142857143
1974 3 1.9 29.1612903225806 7.12903225806452
1974 4 12.1 30.0666666666667 9.71666666666667
1974 5 17.4 31.9032258064516 11.9516129032258
1974 6 49.9 29.4833333333333 13.3833333333333
1974 7 201.2 26 11.9838709677419
1974 8 165.6 27.3709677419355 12.0483870967742
1974 9 170.7 26.15 11.8
1974 10 10 25.758064516129 7.91935483870968
1974 11 6.9 25.3333333333333 5.83333333333333
1974 12 25.5 22.5645161290323 5.66129032258065
1975 1 43.6 21.8064516129032 4.41935483870968
1975 2 0 25.0892857142857 4.53571428571429
1975 3 0 29.5322580645161 7.11290322580645
1975 4 1.9 32.65 10.0333333333333
1975 5 81.1 31.1129032258065 12.0161290322581
1975 6 168.5 28.2166666666667 13.2333333333333
1975 7 212.7 26 12
1975 8 289.7 26.0322580645161 12.3870967741935
