"anio" "ppAcc" "mTmax" "mTmin"
1970 652 27.6374655647383 13.6115702479339
1971 938.5 26.9057575757576 13.4348484848485
1972 445.8 27.9657534246575 14.6684931506849
1973 954.6 26.9958904109589 12.6227397260274
1974 629.1 27.3345205479452 10.3619178082192
1975 641.7 27.1241095890411 10.3082191780822
1976 838.9 26.5819178082192 10.8841095890411
1977 713.5 27.3438356164384 10.9120547945205
1978 847 27.3228650137741 10.8922865013774
1979 413 27.3123287671233 11.0287671232877
1980 575 27.4180821917808 12.0317808219178
1981 669.4 27.086301369863 11.8630136986301
1982 485.9 28.0958904109589 11.9567123287671
1983 612.8 27.2994505494506 11.3104395604396
1984 538.3 26.7616438356164 11.7027397260274
1985 583.8 27.0712328767123 11.8301369863014
1986 823.9 27.3630136986301 11.7520547945205
1987 622.7 27.1339726027397 8.74739726027397
1988 505.2 28.4601648351648 11.125
1989 541.2 29.0095890410959 10.5068493150685
1990 633.5 27.9619178082192 10.9586301369863
1991 728.9 28.6 11.5808219178082
1992 636.7 27.6465753424658 11.2547945205479
1993 598.5 28.2945205479452 11
1994 534.7 29.5301369863014 11.9657534246575
1995 676.1 29.2115384615385 12.3585164835165
1996 716.8 29.0136612021858 11.7472677595628
1997 557.4 29 12.0082191780822
1998 769.3 30.0701369863014 12.2780821917808
1999 473.8 29.4246575342466 11.1397260273973
2000 435.4 29.6420765027322 11.9385245901639
2001 644.2 28.8342465753425 11.9054794520548
2002 711.8 28.8301369863014 12.086301369863
2003 892.5 28.986301369863 12.0720547945205
2004 822.3 28.275956284153 11.7978142076503
2005 456 29.6794520547945 11.4383561643836
2006 787.1 29.3178082191781 12.3890410958904
2007 737.8 29.1287671232877 12.2767123287671
2008 678.9 28.5594520547945 11.7287671232877
2009 594.2 27.4013698630137 12.5972602739726
