"anio" "ppAcc" "mTmax" "mTmin"
1970 756.5 27.8506849315068 8.64739726027397
1971 1011.6 27.3534246575342 9.01315068493151
1972 666.6 28.0506849315069 9.64301369863014
1973 945.8 26.5931506849315 8.57479452054794
1974 768.9 26.6547945205479 8.05780821917808
1975 692.7 26.9690410958904 8.13150684931507
1976 1023.1 26.5493150684932 8.45945205479452
1977 642.7 26.5068493150685 8.06027397260274
1978 877.4 26.0848484848485 8.6129476584022
1979 529.5 26.6753424657534 8.02520547945205
1980 853.5 26.3945205479452 8.58493150684932
1981 929.8 26.0673076923077 8.53571428571429
1982 717 27.341095890411 8.14109589041096
1983 1050.5 26.3736263736264 7.8543956043956
1984 798.9 25.8369863013699 8.09780821917808
1985 822.8 26.1835616438356 8.11917808219178
1986 809.3 26.0943113772455 7.51467065868263
1987 525.1 26.8232876712329 7.65753424657534
1988 621.1 26.8808219178082 7.97945205479452
1989 603.7 26.7 7.56986301369863
1990 873.5 26.5287671232877 8.68082191780822
1991 886.5 26.6328767123288 8.33698630136986
1992 785.3 25.7016483516484 8.55357142857143
1993 652.5 28.0906849315068 7.8027397260274
1994 785.1 29.1616438356164 8.39452054794521
1995 766 29.3356164383562 8.57890410958904
1996 624 29.2677595628415 7.52786885245902
1997 601 29.2561643835616 8.11808219178082
1998 910 30.1794520547945 8.17095890410959
1999 551.2 29.1849315068493 7.31178082191781
2000 441.8 26.6571038251366 7.49180327868852
2001 861.8 26.1225895316804 8.19366391184573
2002 613.5 25.47928802589 8.96763754045307
2003 77 27.89 5.80666666666667
2004 802.8 27.1906542056075 9.23130841121495
2005 498 29.2215568862275 8.81586826347305
2006 1017.1 26.5449101796407 9.95389221556886
2007 921.4 26.8246575342466 9.38164383561644
2008 712.9 26.7373134328358 8.81791044776119
2009 778.1 26.0849315068493 9.3958904109589
