"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 14.3625 22.4108225629654 18.9625217834631 1.89429973379065 2.25480913978495 0.977321058119781
2 7.32 8.16877105278514 20.3344249452655 1.83494519241395 3.23559113300493 1.20728420057906
3 13.3225 15.517657229667 22.2669934186133 1.82161641308109 4.87791258806081 1.37111713630286
4 32.4666666666667 30.5052828326792 23.3314087360064 2.09403201435792 6.66526356784977 1.3225053871516
5 76.69 41.3600376927865 23.4327904093908 2.46083584602027 8.13287523321033 1.18770234037831
6 139.265 44.1152427288533 21.5223665845648 1.92769867594787 8.98819786535304 0.957353556133763
7 154.8375 38.8172555305379 20.370286429366 1.84370318961734 8.52298062662217 1.09606849894437
8 136.1625 42.1752673148247 20.5810528666478 1.72180658697092 8.48599967188705 1.20330035301515
9 136.525 71.9252630272456 20.2617411284437 1.61269406614782 8.41297048896187 1.1796925012455
10 58.4625 32.9336604948454 20.4850044162826 1.82802030131477 6.47300672043011 1.33796033476546
11 13.6975 13.3402511701261 20.0649521756979 1.89719455452819 4.04725164203612 1.30681161909689
12 7.51282051282051 11.1395969757764 19.1168891360771 1.62635269970466 2.73096764686309 1.13106275507338
