"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 9.4275 12.7317488777928 23.4616935483871 2.03795690098317 4.69443548387097 1.4000564090247
2 6.705 9.57177876457395 25.1783929711731 2.00149056678656 5.58917430669586 1.41445188337759
3 8.84 14.3702648834499 27.692497311828 1.85361187087139 7.70295698924731 1.31521557809462
4 19.1125 24.3935698494501 29.1726149425287 1.81097062780566 10.0896264367816 1.12828388071584
5 42.8375 33.4342729691309 29.2742607526882 1.56184278492995 12.0338306451613 1.31784701766178
6 55.095 33.5388481217428 27.2148563218391 1.63343893890273 12.9476149425287 1.02592385232605
7 55.2425 36.2463571113864 25.8358964469378 1.50048963945363 12.4419530154278 0.970067398497418
8 45.6225 26.132006973471 26.0281182795699 1.4372086149415 12.2769153225806 1.00664142209469
9 64.5925 45.8653793097884 25.2365517241379 1.42747389989334 12.1432902298851 1.01738511298443
10 33.7125 28.1683509206653 24.5686290322581 1.72077999763522 9.99354838709677 1.49435645123261
11 8.4275 10.9662649953718 24.4373706896552 1.78593468000332 7.03797988505747 1.72118024902368
12 5.5975 9.49254734664016 23.8556451612903 2.02481981289376 5.44048387096774 1.17338930955766
