"anio" "ppAcc" "mTmax" "mTmin"
1970 574.7 24.0027397260274 6.61917808219178
1971 545.3 23.7219178082192 6.65534246575342
1972 520.1 24.1625683060109 7.11065573770492
1973 660.8 23.9767123287671 7.28767123287671
1974 732.1 23.7403846153846 6.48626373626374
1975 607.9 23.6227397260274 6.68657534246575
1976 686.7 23.2994505494506 7.08406593406593
1977 523.6 25.2479452054795 7.48575342465753
1978 684.8 24.9787878787879 8.3267217630854
1979 672.8 25.593698630137 7.76438356164384
1980 548.8 25.3415300546448 8.08743169398907
1981 748.2 24.7008219178082 7.88986301369863
1982 381.4 26.0890410958904 7.55068493150685
1983 515.7 25.4112328767123 8.02465753424658
1984 670.8 24.7773224043716 7.95628415300546
1985 619.1 24.5547945205479 7.95205479452055
1986 488.6 25.4945205479452 7.73835616438356
1987 576.9 25.6890410958904 8.16575342465753
1988 533.9 26.0691256830601 8.23825136612022
1989 476.2 25.9808219178082 7.82054794520548
1990 868 25.6506849315068 8.52328767123288
1991 659.7 26.1178082191781 8.72328767123288
1992 774 25.0655737704918 8.88989071038251
1993 541.3 26.2520547945205 8.53287671232877
1994 576.5 26.5344202898551 9.03985507246377
1995 559.6 26.8912087912088 9.34752747252747
1996 524.2 26.8273480662983 8.14779005524862
1997 529 27.172602739726 8.88493150684931
1998 661.7 28.0922865013774 9.28650137741047
1999 530.1 26.7575342465753 7.96438356164384
2000 628.5 26.6256830601093 7.89071038251366
2001 511.7 26.547397260274 8.37698630136986
2002 588.6 26.9794520547945 8.56301369863014
2003 617 26.6232876712329 8.95479452054795
2004 711 26.4438356164384 7.9027397260274
2005 493.5 26.6935028248588 8.23728813559322
2006 512.8 26.3739726027397 7.54383561643836
2007 817.5 25.9758522727273 7.76846590909091
2008 430.3 26.2844311377245 7.58502994011976
2009 655 26.2945205479452 8.46575342465753
