"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 60.6 24.4193548387097 17.1774193548387
1970 2 83.6 25.1607142857143 15.9642857142857
1970 3 33.1 27.9548387096774 19
1970 4 1 33.3 23.0166666666667
1970 5 16.2 32.5 22
1970 6 116.1 32.4666666666667 23.5
1970 7 379.1 30.6451612903226 22.5322580645161
1970 8 250.4 31.2258064516129 23.0967741935484
1970 9 196.7 30.65 23.0666666666667
1970 10 248 29.8548387096774 22.1129032258065
1970 11 47 26.7833333333333 16.25
1970 12 31.7 27.3548387096774 18.9516129032258
1971 1 61.3 27.0483870967742 17.241935483871
1971 2 51.7 29.1964285714286 17.5714285714286
1971 3 63.8 30.7258064516129 19.7741935483871
1971 4 5.6 32.15 21.2166666666667
1971 5 33.2 33.2096774193548 23.4193548387097
1971 6 22.3 33.9 23.3833333333333
1971 7 320.9 30.8387096774194 22.5322580645161
1971 8 513.4 30.5483870967742 22.3709677419355
1971 9 441.3 31.5166666666667 23.2166666666667
1971 10 610.6 29.7258064516129 21.8709677419355
1971 11 302.9 28.1 20.2
1971 12 274.9 28.3870967741935 19.741935483871
1972 1 138.3 27.5967741935484 18.5645161290323
1972 2 46.5 27.1206896551724 17.6206896551724
1972 3 106.5 31.3064516129032 21.0806451612903
1972 4 1.6 33.6833333333333 22.6
1972 5 43.6 34.7096774193548 23.5967741935484
1972 6 213.1 31.5 23.6
1972 7 702.1 30.0483870967742 22.8870967741935
1972 8 605.9 29.6451612903226 22.4677419354839
1972 9 169.6 31.15 22.9333333333333
1972 10 743.6 29.9516129032258 22.1451612903226
1972 11 147 28.6166666666667 21.55
1972 12 140.6 26.241935483871 18.5806451612903
1973 1 49.9 26.2741935483871 17.4838709677419
1973 2 89.8 24.6428571428571 17.4464285714286
1973 3 0 32.2258064516129 21.7096774193548
1973 4 59.7 31.4666666666667 22.6333333333333
1973 5 173.5 32.6451612903226 23.4354838709677
1973 6 321.4 32.5833333333333 23.7333333333333
1973 7 349.3 31.1451612903226 23.1290322580645
1973 8 1046.3 29.9516129032258 23
1973 9 263.3 31.2166666666667 23.4166666666667
1973 10 654.1 29.1612903225806 22.1612903225806
1973 11 247.8 29.4 21.3333333333333
1973 12 269.5 26.741935483871 16.9677419354839
1974 1 143.2 27.0483870967742 19.8870967741935
1974 2 37.2 26.8035714285714 17.6071428571429
1974 3 15.3 31.3387096774194 20.3387096774194
1974 4 38.3 32.1833333333333 22.5333333333333
1974 5 29.6 34.1935483870968 24.3548387096774
1974 6 291.1 30.6833333333333 23.6666666666667
1974 7 352.5 30.0161290322581 22.5645161290323
1974 8 185.2 31.4838709677419 22.4516129032258
1974 9 579.8 30.3833333333333 23
1974 10 509.6 27.241935483871 20.5806451612903
1974 11 326.8 27.3166666666667 19.8833333333333
1974 12 64.1 26.1129032258065 18.8064516129032
1975 1 40.5 26.1451612903226 18.3870967741935
1975 2 21.1 28.5357142857143 18.8392857142857
1975 3 4.4 32.1290322580645 21.8709677419355
1975 4 7.9 33.85 23.05
1975 5 87.2 34.8709677419355 25.0161290322581
1975 6 232 32.3 23.7833333333333
1975 7 116 30.8709677419355 22.7096774193548
1975 8 502 31.2258064516129 22.6129032258065
1975 9 533 29.5166666666667 22.3666666666667
1975 10 783.4 28.7741935483871 21.1774193548387
1975 11 152.2 27.9166666666667 19.6666666666667
1975 12 270.8 27.1290322580645 17.8064516129032
1976 1 136.6 24.8064516129032 16.258064516129
1976 2 9.7 26.8793103448276 16.5172413793103
1976 3 26.4 31.4354838709677 20.7903225806452
1976 4 26.3 31.65 21.35
1976 5 45.5 32.8709677419355 22.9032258064516
1976 6 370.3 31.5666666666667 22.8833333333333
1976 7 160.2 30.6451612903226 22.8709677419355
1976 8 364.1 30.1290322580645 22.1935483870968
1976 9 624.1 30.15 21.7166666666667
1976 10 538.5 29.1290322580645 21.3870967741935
1976 11 329.1 27.8833333333333 18.95
1976 12 62.6 24.3709677419355 16.6290322580645
1977 1 41.4 25.1451612903226 17
1977 2 38.7 25.5892857142857 17.6785714285714
1977 3 8.3 31.1935483870968 19.7096774193548
1977 4 12.8 31.3666666666667 21.1
1977 5 0 34.0483870967742 23.0967741935484
1977 6 174.4 31.8666666666667 22.5166666666667
1977 7 243.2 31.0161290322581 22.4677419354839
1977 8 98.4 32.0161290322581 22.9032258064516
1977 9 185.1 32.4333333333333 22.8833333333333
1977 10 354.4 30.3709677419355 21.758064516129
1977 11 151.5 29.55 19.5333333333333
1977 12 167.1 28.258064516129 18.8064516129032
1978 1 46.4 26.2741935483871 17.1290322580645
1978 2 77.2 25.5357142857143 17.0357142857143
1978 3 51.8 28.3709677419355 18.4516129032258
1978 4 3 31.55 21.05
1978 5 42.2 34.9677419354839 24.3548387096774
1978 6 376.6 31.3333333333333 22.9166666666667
1978 7 562.9 31.0322580645161 22.5322580645161
1978 8 335.1 31.2903225806452 22.6935483870968
1978 9 798.6 30.8 22.3666666666667
1978 10 277.5 28.0483870967742 21.4838709677419
1978 11 219.7 28.8833333333333 20.6333333333333
1978 12 92.5 27.9677419354839 18.9354838709677
1979 1 23.9 26.3225806451613 17.1935483870968
1979 2 20.2 26.5178571428571 17.4107142857143
1979 3 26.9 29.2903225806452 20
1979 4 36.4 33.55 23.2666666666667
1979 5 60.3 33.0806451612903 23.3225806451613
1979 6 649.1 31.0166666666667 23.0833333333333
1979 7 66.8 32.9516129032258 23.8225806451613
1979 8 335.4 30.2258064516129 22.6935483870968
1979 9 335.9 29.75 22.3166666666667
1979 10 123.5 31.1129032258065 21.4193548387097
1979 11 104.3 27.0333333333333 19.6
1979 12 152.6 25.1935483870968 17.741935483871
1980 1 18.8 27.4354838709677 18.5
1980 2 15.2 26.2241379310345 16.9137931034483
1980 3 1.8 31.1451612903226 20.0806451612903
1980 4 20.9 31.3666666666667 20.85
1980 5 5.5 35.7096774193548 24.4677419354839
1980 6 316.9 31.6 23.2166666666667
1980 7 227.5 32.1935483870968 23.0806451612903
1980 8 145.6 32.2903225806452 23.1774193548387
1980 9 557.2 30.0666666666667 22.85
1980 10 350.3 29.1806451612903 21.5483870967742
1980 11 204.6 26.8166666666667 18.6166666666667
1980 12 70.7 26.4193548387097 16.7258064516129
1981 1 76.8 25.258064516129 16.1774193548387
1981 2 61.1 26.8214285714286 18.25
1981 3 23.2 29.9193548387097 19.6290322580645
1981 4 119.8 31.7666666666667 21.5166666666667
1981 5 77.5 35.2903225806452 23.9032258064516
1981 6 480.3 31.55 23.9166666666667
1981 7 440.1 31.1290322580645 22.8387096774194
1981 8 317.5 31.5483870967742 23.1612903225806
1981 9 840.4 30.8333333333333 22.5333333333333
1981 10 423.7 30.5483870967742 22.1290322580645
1981 11 75.8 29.8166666666667 18.95
1981 12 240.2 28.4838709677419 19.1290322580645
1982 1 91.6 28.7096774193548 18.2903225806452
1982 2 26.3 28.0535714285714 18.6607142857143
1982 3 73.3 32 20.3387096774194
1982 4 52.3 34.55 23.45
1982 5 60.2 33.5806451612903 23.6774193548387
1982 6 64.7 34.4166666666667 23.5166666666667
1982 7 290.6 33.0483870967742 22.5
1982 8 309.5 32.5645161290323 22.6774193548387
1982 9 839.3 31.1833333333333 22.6666666666667
1982 10 398.1 30.8064516129032 21.6129032258065
1982 11 51.1 29.65 19.9166666666667
1982 12 349.1 27.4677419354839 19.3225806451613
1983 1 137.4 25.758064516129 17.3387096774194
1983 2 59 28.3392857142857 18.1428571428571
1983 3 5.2 30.6612903225806 19.1935483870968
1983 4 36 31.4833333333333 21.1666666666667
1983 5 30.3 35.3064516129032 24.4838709677419
1983 6 42.1 35.6333333333333 24.6833333333333
1983 7 520.5 31.9193548387097 23.258064516129
1983 8 161.6 32.4838709677419 23.1290322580645
1983 9 264 31.9666666666667 23.5
1983 10 307 30 21.9516129032258
1983 11 188.9 30.4333333333333 20.95
1983 12 213.7 28.241935483871 18.8548387096774
1984 1 65.9 24.8064516129032 16.8064516129032
1984 2 99.3 26.1551724137931 17.6034482758621
1984 3 21.4 30.0806451612903 18.741935483871
1984 4 4.5 34.3166666666667 21.8833333333333
1984 5 354.1 33.3709677419355 23.5967741935484
1984 6 416.5 31.3833333333333 22.8166666666667
1984 7 398.2 31.0322580645161 22.7096774193548
1984 8 388.1 30.3870967741935 22.5
1984 9 688.4 29.6166666666667 22.5
1984 10 164.2 32.1451612903226 21.5806451612903
1984 11 147.3 28.9666666666667 18.45
1984 12 207.3 28.8709677419355 18.8870967741935
1985 1 92 25.7903225806452 16.1290322580645
1985 2 77.7 26.0714285714286 18.2678571428571
1985 3 36.9 30 21.0161290322581
1985 4 58.1 32.7166666666667 21.4666666666667
1985 5 13.9 34.758064516129 22.7258064516129
1985 6 346 33.5666666666667 23.6333333333333
1985 7 331.9 31.258064516129 22.741935483871
1985 8 332.6 32.4838709677419 22.9354838709677
1985 9 458.5 31.6166666666667 22.4666666666667
1985 10 288.4 31.0806451612903 22.5322580645161
1985 11 105.9 30.95 19.6166666666667
1985 12 280.5 25.258064516129 18.1935483870968
1986 1 28 25.0645161290323 14.3064516129032
1986 2 51.8 30.2678571428571 18.2678571428571
1986 3 30.8 30.6774193548387 17.741935483871
1986 4 17.7 33.7 21.15
1986 5 131.5 33.6774193548387 22.9032258064516
1986 6 191.2 32.8166666666667 22.55
1986 7 341.8 31.5322580645161 21.9193548387097
1986 8 478.6 32.1129032258064 21.9032258064516
1986 9 535.4 31.35 21.5833333333333
1986 10 331 30.9677419354839 20.741935483871
1986 11 374 29.1333333333333 19.3333333333333
1986 12 280.5 26.0967741935484 17.6451612903226
1987 1 48.8 27.4032258064516 13.4677419354839
1987 2 19 28.4285714285714 16.3214285714286
1987 3 54.9 29.241935483871 18.5483870967742
1987 4 25.5 29.2333333333333 17.9833333333333
1987 5 0.1 34.4193548387097 22.4516129032258
1987 6 362.7 32.7 22.9833333333333
1987 7 840.2 31.1612903225806 22.1129032258065
1987 8 285.5 32.1451612903226 22.4032258064516
1987 9 126.4 33.4833333333333 23.4666666666667
1987 10 208.5 30.3064516129032 19.2903225806452
1987 11 94.5 28.95 18.1166666666667
1987 12 127.2 27.7258064516129 16.3387096774194
1988 1 110.1 25.3709677419355 16.1129032258065
1988 2 35.1 26.2931034482759 15.2241379310345
1988 3 39.5 28.741935483871 17.9838709677419
1988 4 23.8 33.4833333333333 20.8
1988 5 43.7 33.9193548387097 22.0161290322581
1988 6 644.6 32.3 22.7333333333333
1988 7 288.4 32.4516129032258 22.6774193548387
1988 8 682.7 32.0161290322581 21.9516129032258
1988 9 258.6 32.1833333333333 22.2333333333333
1988 10 266.9 29.9193548387097 20.1129032258065
1988 11 86.6 31.4166666666667 19.2166666666667
1988 12 353.7 26.8709677419355 17.3870967741935
1989 1 92.8 29.7741935483871 17.4032258064516
1989 2 84.1 28.8571428571429 16.3571428571429
1989 3 26.1 30.4677419354839 17.2096774193548
1989 4 14.9 32.7 19.9666666666667
1989 5 87.6 34.8387096774194 22.758064516129
1989 6 152.2 33.85 22.5333333333333
1989 7 479.6 32.241935483871 21.9677419354839
1989 8 59.3 33 22.0483870967742
1989 9 488.6 30.55 22.05
1989 10 134 31.3387096774194 19.6935483870968
1989 11 63.6 30.4833333333333 19.5833333333333
1989 12 103.4 25.3225806451613 15.3064516129032
