"anio" "ppAcc" "mTmax" "mTmin"
1970 2704 27.3624657534247 14.9547945205479
1971 2360 28.8465753424658 15.1232876712329
1972 2774.5 28.1434426229508 15.6625683060109
1973 2147 27.9260273972603 15.5945205479452
1974 2452.5 28.2106849315069 15.2230136986301
1975 2133 28.9438356164384 15.2657534246575
1976 2780.5 27.3874316939891 15.266393442623
1977 2304 27.9260273972603 15.3397260273973
1978 2535.1 27.7271232876712 15.6054794520548
1979 2106.5 27.4465753424658 15.5465753424658
1980 2773 27.5513661202186 15.775956284153
1981 3458.8 27.5602739726027 15.9876712328767
1982 2077.5 28.4361643835616 15.886301369863
1983 1821.5 27.6808219178082 16.0068493150685
1984 2388.7 27.4153005464481 15.4896174863388
1985 2635.1 27.8260273972603 15.7767123287671
1986 2413 27.7684931506849 15.5178082191781
1987 2165.4 27.3178082191781 15.5931506849315
1988 2416 27.7213114754098 15.8866120218579
1989 2349 28.2712328767123 15.4712328767123
1990 2659 27.8657534246575 16
1991 2923.8 28.3260273972603 16.2876712328767
1992 2845.9 26.6489071038251 16.2281420765027
1993 2529.2 27.4712328767123 16.0150684931507
1994 2109.6 27.7876712328767 16.3013698630137
1995 2133.9 28.0068493150685 16.8808219178082
1996 2273.9 27.4412568306011 15.5765027322404
1997 2658.3 27.3684931506849 16.0945205479452
1998 2996.6 28.5917808219178 16.358904109589
1999 2635.8 28.0054794520548 15.6178082191781
2000 2379.3 27.9371584699454 15.6256830601093
2001 2262.6 27.7438356164384 15.9178082191781
2002 1966.2 28.5041095890411 15.5493150684932
2003 2272.7 28.5167123287671 15.7457534246575
2004 1946.9 28.7773224043716 15.7773224043716
2005 66.6 25.771186440678 12.5593220338983
2006 2722.4 29.0684931506849 15.5342465753425
2007 2430 28.8424657534247 15.6931506849315
2008 2498.2 28.8483606557377 15.4385245901639
2009 2023.3 29.9395604395604 15.9175824175824
