"anio" "mes" "dia" "pp" "tmax" "tmin"
1970 1 1 0 22.5 16.5
1970 1 2 0 27 16.5
1970 1 3 0 23.5 18.5
1970 1 4 0 23 17.5
1970 1 5 0 28.5 16
1970 1 6 0 21 17.5
1970 1 7 0 16.5 13
1970 1 8 0 19.5 11
1970 1 9 0 19 13.5
1970 1 10 0 26.5 15
1970 1 11 0 29.5 14
1970 1 12 0 29.5 17
1970 1 13 0 27 15
1970 1 14 0 24.5 18
1970 1 15 0 26 17.5
1970 1 16 0 31 17
1970 1 17 0 26.5 19
1970 1 18 0 31.5 14.5
1970 1 19 0 24.5 17.5
1970 1 20 0 27.5 17
1970 1 21 0 28.5 19
1970 1 22 0 26.5 20
1970 1 23 0 28 17.5
1970 1 24 0 28 19
1970 1 25 0 30.5 18
1970 1 26 0 29.5 18.5
1970 1 27 0 29 21
1970 1 28 0 30 19.5
1970 1 29 0 31 20
1970 1 30 0 23.5 18.5
1970 1 31 0 25.5 13.5
1970 2 1 0 31 15
1970 2 2 0 35.5 18.5
1970 2 3 6.4 18 17
1970 2 4 0 23 13
1970 2 5 0 26 11
1970 2 6 0 28 12.5
1970 2 7 0 27 18
1970 2 8 0 27.5 16.5
1970 2 9 19.5 26 18
1970 2 10 2.3 20 16
1970 2 11 0 25.5 15.5
1970 2 12 0 25.5 14
1970 2 13 0 28 16
1970 2 14 0 23.5 15
1970 2 15 0 34.5 15.5
1970 2 16 0 25 16
1970 2 17 0 25.5 15
1970 2 18 0 25.5 15.5
1970 2 19 1.2 31 16
1970 2 20 14.2 24.5 17
1970 2 21 1.4 19.5 16
1970 2 22 0 25.5 16.5
1970 2 23 0 28 17.5
1970 2 24 0 30.5 19
1970 2 25 0 27 17.5
1970 2 26 0 23 17
1970 2 27 0 26.5 14
1970 2 28 0 28.5 15
1970 3 1 0 30.5 17.5
1970 3 2 0 30 19
1970 3 3 0 33.5 20
1970 3 4 0 33 20
1970 3 5 0 30 21.5
1970 3 6 0 35 20
1970 3 7 0 29.5 19
1970 3 8 0 23 18.5
1970 3 9 0 26.5 17.5
1970 3 10 0 31 18.5
1970 3 11 0 36 18
1970 3 12 6.7 24 19.5
1970 3 13 3.8 18.5 17.5
1970 3 14 3.2 19.5 15
1970 3 15 0 25.5 15.5
1970 3 16 0 28.5 14.5
1970 3 17 0 29 16
1970 3 18 0 29.5 19
1970 3 19 0 34 18.5
