"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 -100 6.62474924655097 -9.8931814076419
1970 2 432.012734347365 -20.855871419449 11.615333652618
1970 3 -100 -19.756720430108 -7.265053763441
1970 4 -100 3.99244252873594 -0.362448686371
1970 5 -98.9668087304662 0.58033463107094 0.384728401928029
1970 6 40.6990912694335 -15.804443760263 1.98230706075499
1970 7 -4.68649689706827 1.62244160177998 6.397279384501
1970 8 -63.3553769940032 7.38521505376404 1.77741935483898
1970 9 23.4768480909829 1.965 5.08833333333303
1970 10 10.0838064341714 8.70470430107495 -13.711693548387
1970 11 104.926967516896 -10.271694665488 -16.468330631692
1970 12 -100 18.249193548387 -16.0010752688172
1971 1 -43.1181894383906 10.495716988487 15.4293992375197
1971 2 -100 1.46555715197906 -18.7418092045249
1971 3 -100 9.43682795698905 7.89623655913999
1971 4 -59.114139693356 -8.67422413793101 -2.029115353038
1971 5 -20.4442722458995 -7.48418149796102 6.83634130515401
1971 6 75.5215291336964 -16.804443760263 -4.01769293924502
1971 7 12.3475283543762 -3.86142936596201 -2.15110771227298
1971 8 -29.3654744127616 -13.743817204301 -3.38387096774202
1971 9 50.2104719001551 -6.36833333333399 2.92166666666702
1971 10 49.2295214922952 -17.101747311828 18.0625
1971 11 -100 -0.971694665487988 1.19833603497399
1971 12 -100 6.63629032258001 8.35376344086059
1972 1 -77.116512992456 3.07636214977698 15.5906895600997
1972 2 -100 -3.76843299580393 -9.2898387611751
1972 3 -56.3758389261745 -5.07930107526896 1.92849462365601
1972 4 513.287904599659 8.99244252873594 9.13755131362899
1972 5 -73.1370269921219 -2.64547182054201 0.0621477567670325
1972 6 28.8371478485547 -23.304443760263 2.148973727422
1972 7 -23.4324844853413 -4.829171301446 -1.02207545420899
1972 8 -19.4102728199294 -0.840591397848982 -2.90000000000003
1972 9 25.8400413558821 -0.701666666667009 -1.41166666666699
1972 10 -37.9291700459584 10.640188172043 2.73991935483899
1972 11 111.90320470896 -3.47169466548799 41.531669368308
1972 12 -42.6020408163265 -4.65403225806501 7.54731182795659
1973 1 -24.1575859178542 -16.601057205062 -3.7641491495774
1973 2 88.1853555005306 -5.85587141944899 12.293905081189
1973 3 -100 -0.724462365591947 7.089784946237
1973 4 -100 -6.00755747126406 -0.195782019705
1973 5 10.5514658401136 -5.54869762699305 14.094405821283
1973 6 -18.1995683896824 -4.63777709359704 3.81564039408801
1973 7 36.0582067194522 -5.95820355950998 3.17147293288802
1973 8 117.781886273673 -12.776075268817 -0.803225806452019
1973 9 -34.0521379514068 -5.03500000000003 9.58833333333303
1973 10 45.3365774533658 -10.4888440860221 13.385080645162
1973 11 -100 -3.80502799882095 -3.46833063169202
1973 12 -100 -11.589516129033 -29.0655913978494
1974 1 -100 10.495716988487 3.17133472139039
1974 2 -100 3.251271437694 -9.4560949188106
1974 3 -49.6644295302013 -7.98252688172099 9.50913978494601
1974 4 -100 -10.1742241379311 11.304217980295
1974 5 29.6655043264884 -9.86052558398306 -4.566884501298
1974 6 -5.75040004697799 -11.4711104269301 -2.35102627257803
1974 7 -1.09137598972823 -13.216268075639 -5.699494809047
1974 8 -15.7126265140202 -6.55026881720396 -1.12580645161302
