"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 3.8 16.9193548387097 6.01612903225806
1970 2 56.4 19.1107142857143 8.55357142857143
1970 3 1.4 24.3387096774194 10.1129032258065
1970 4 8.3 30.4833333333333 17.9333333333333
1970 5 116.4 29.7258064516129 17.7258064516129
1970 6 122.7 31.1333333333333 21.1166666666667
1970 7 94.5 32.5483870967742 21.4612903225806
1970 8 145.7 33.1290322580645 21.9838709677419
1970 9 281.9 28.9733333333333 19.95
1970 10 36.6 24.7451612903226 15.0967741935484
1970 11 0 23.5366666666667 8.85
1971 1 27.2 21.6129032258065 8.62903225806452
1971 2 0 21.1071428571429 8.64285714285714
1971 3 0 28.3709677419355 12.4838709677419
1971 4 12.6 30 16.1333333333333
1971 5 61.7 32.3548387096774 20.1290322580645
1971 6 64.6 33.8833333333333 21.9166666666667
1971 7 79.3 34.4516129032258 21.9032258064516
1971 8 119.3 31.3870967741935 20.9516129032258
1971 9 273.7 29.6166666666667 19.7333333333333
1971 10 193.5 25.258064516129 17.8709677419355
1971 11 10.6 23.3166666666667 12.9833333333333
1971 12 5 21.758064516129 10.7258064516129
1972 1 4.3 22.1935483870968 9.80645161290323
1972 2 15.7 23.7241379310345 9.25862068965517
1972 3 173 29.5161290322581 13.5967741935484
1972 4 100.7 31.7833333333333 18.8666666666667
1972 5 221.2 28.2096774193548 19.6451612903226
1972 6 300.9 31.25 20.55
1972 7 89.1 32.5161290322581 20.1129032258065
1972 8 50.1 34.0161290322581 20.6290322580645
1972 9 113.2 34.6333333333333 20.8333333333333
1972 10 17.2 30.5967741935484 17.9354838709677
1972 11 16.8 21.0333333333333 10.6666666666667
1972 12 3.1 22.3064516129032 6.98387096774194
1973 1 40.9 18.4032258064516 4.91935483870968
1973 2 46.1 19.2357142857143 7.81785714285714
1973 3 11.6 28.2903225806452 14.5967741935484
1973 4 145.9 29.1333333333333 15.3
1973 5 51.4 31.5806451612903 18.5322580645161
1973 6 353.9 31.4 20.45
1973 7 82 33.0806451612903 21.3387096774194
1973 8 261.7 31.5806451612903 20.4516129032258
1973 9 133.7 31.6166666666667 20.6666666666667
1973 10 188.8 27.8709677419355 17.6935483870968
1973 11 4.9 25.7666666666667 14.7166666666667
1973 12 16.8 21.9516129032258 6.51612903225806
1974 1 8 21.6290322580645 8.19354838709677
1974 2 0 24.8035714285714 8.07142857142857
1974 3 29.9 29.1612903225806 15.4193548387097
1974 4 17.8 30.5166666666667 16.8166666666667
1974 5 35.5 33.5161290322581 21.0161290322581
1974 6 128.4 33.6666666666667 20.3166666666667
1974 7 51.9 32.5645161290323 20.1774193548387
1974 8 4.7 36.0645161290323 21.6451612903226
1974 9 276.3 30.1379310344828 19.3448275862069
1974 10 60.6 26.2903225806452 15.8709677419355
1974 11 5 22.65 11.25
1974 12 3.4 19.5967741935484 8.20967741935484
1975 1 3.4 22.741935483871 7.74193548387097
1975 2 23.3 24.8571428571429 8.96428571428571
1975 3 1.4 29.741935483871 13.3387096774194
1975 4 21.1 32.1366666666667 17.4666666666667
1975 5 140.3 32.9838709677419 20.5483870967742
1975 6 23.5 34.4833333333333 21.1
1975 7 341.9 32.9193548387097 21.1612903225806
1975 8 297.3 31.7096774193548 21.3548387096774
1975 9 195.1 28.7 18.1333333333333
1975 10 42.6 27.2258064516129 15.6129032258065
1975 11 1.4 24.3833333333333 10.96
1975 12 26.7 20.9032258064516 7.79032258064516
1976 1 3.1 20.3096774193548 5.38709677419355
1976 2 2.2 26.3965517241379 9.56896551724138
1976 3 30.4 26.5838709677419 14.4483870967742
1976 4 58.7 30.3866666666667 17.25
1976 5 61 29.7258064516129 18.1774193548387
1976 6 54.5 33.25 20.5666666666667
1976 7 382.3 30.4516129032258 20.5322580645161
1976 8 102.7 33.0322580645161 20.0967741935484
1976 9 160.8 30.7 20.55
1976 10 50.5 22.9032258064516 13.9032258064516
1976 11 98.9 17 8.25
1976 12 14.7 17.0032258064516 6.59677419354839
1977 1 12.8 15.8870967741935 5.58064516129032
1977 2 13.6 21.4642857142857 7.96428571428571
1977 3 5.7 26.9516129032258 11.5
1977 4 97.8 28.4 15.2666666666667
1977 5 77 30.241935483871 19.9838709677419
1977 6 84.4 33.6166666666667 20.4
1977 7 21.2 36.1935483870968 20.9677419354839
1977 8 68.8 36.5161290322581 21.741935483871
1977 9 194.3 32.7166666666667 21.25
1977 10 35.9 27.6935483870968 16.9516129032258
1977 11 0.3 25.5166666666667 11.85
1977 12 12.4 23.2903225806452 7.46774193548387
1978 3 47.2 26.2903225806452 11.0806451612903
1978 4 23.6 30.8866666666667 17.1166666666667
1978 5 116.8 35.1129032258064 20.5161290322581
1978 6 32.5 35 21.1833333333333
1978 7 20.7 36.7258064516129 21.6774193548387
1978 8 150 35.9032258064516 21.0645161290323
1978 9 420.1 29.5833333333333 20.7166666666667
1978 10 241.8 24.8709677419355 15.6612903225806
1978 11 12.3 22.3666666666667 14.5666666666667
1978 12 15.1 19.6451612903226 8.48387096774194
1979 1 18.4 16.9709677419355 4.79032258064516
1979 2 11.9 22.1785714285714 7.875
1979 3 4.5 26.3225806451613 13.4193548387097
1979 4 58.6 29.85 17.5833333333333
1979 5 45.4 30.9838709677419 19.0645161290323
1979 6 152.9 32.4833333333333 19.8333333333333
1979 7 114.7 35.6 22.0322580645161
1979 8 144.6 34.8709677419355 20.9677419354839
1979 9 161.7 29.1666666666667 17.65
1979 10 5 30.3387096774194 15.7903225806452
1979 11 8.2 22.1666666666667 11.0333333333333
1979 12 117.4 17.9838709677419 8.54838709677419
1980 1 18.9 20.5967741935484 8.85483870967742
1980 2 10.3 21.2068965517241 4.05172413793103
1980 3 16 27.3774193548387 11.8741935483871
1980 4 32.9 29.62 15.22
1980 5 39.8 33.658064516129 21.8483870967742
1980 6 0.2 37.4466666666667 23.1233333333333
1980 7 32.5 37.4774193548387 22.9741935483871
1980 8 186.6 34.4032258064516 22.8096774193548
1980 9 125.5 33.6633333333333 21.7566666666667
1980 10 63 26.1387096774194 16.5741935483871
1980 11 37.4 20.3333333333333 9.83666666666667
1980 12 29.9 19.8129032258065 10.0193548387097
1981 1 76.7 17.3258064516129 7.08064516129032
1981 2 7.6 20.875 10.2392857142857
1981 3 24.3 24.6838709677419 13.341935483871
1981 4 116.4 28.44 18.2766666666667
1981 5 249 30.0129032258065 19.5612903225806
1981 6 280.3 31.6533333333333 22.2433333333333
1981 7 71 33.0709677419355 22.2354838709677
1981 8 180.6 33.9193548387097 21.7
1981 9 220.5 30.1966666666667 20.44
1981 10 78 27.9096774193548 18.1516129032258
1981 11 0 26.55 11.2666666666667
1981 12 5.8 23.8064516129032 12.1064516129032
1982 1 0 23.4096774193548 7.57741935483871
1982 2 24.7 21.2678571428571 8.15357142857143
1982 3 14.9 27.5225806451613 14.3322580645161
1982 4 149.7 29.0366666666667 17.73
1982 5 178.8 28.2258064516129 20.341935483871
1982 6 2.1 35.1066666666667 22.9666666666667
1982 7 2.7 36.8032258064516 22.4032258064516
1982 8 15.8 36.1645161290323 21.7129032258064
1982 9 137.4 32.5666666666667 20.27
1982 10 55.4 26.4322580645161 16.1225806451613
1982 11 28.7 24.05 11.5066666666667
1982 12 53.2 20.0548387096774 7.99677419354839
1983 1 28.1 18.8225806451613 7.43225806451613
1983 2 19.1 22.5892857142857 9.53571428571429
1983 3 59.1 26.9806451612903 11.3096774193548
1983 4 0 27.4333333333333 14.7966666666667
1983 5 207.9 32.0387096774194 20.5935483870968
1983 6 21.6 33.3066666666667 21.73
1983 7 229.5 31.9129032258065 21.4870967741935
1983 8 199.3 32.8032258064516 21.2838709677419
1983 9 256.5 30.3166666666667 20.2
1983 10 73.4 27.4258064516129 16.9838709677419
1983 11 22.8 26.2266666666667 11.6766666666667
1983 12 16.9 18.2935483870968 5.8741935483871
1984 1 155.4 15.5548387096774 7.45483870967742
1984 2 5.4 22.8448275862069 8.61379310344828
1984 3 4.1 27.0387096774194 12.7709677419355
1984 4 7.8 32.47 15.7466666666667
1984 5 188.7 31.4935483870968 18.9612903225806
1984 6 90.7 32.7 21.4466666666667
1984 7 94.4 32.2806451612903 21.1516129032258
1984 8 105.4 33.6870967741935 21.1258064516129
