"anio" "ppAcc" "mTmax" "mTmin"
1970 1014.4 29.474011299435 16.8920903954802
1971 583.8 31.1764383561644 18.1465753424658
1972 1019.2 29.9781420765027 18.6215846994536
1973 1714.6 29.3964383561644 17.7498630136986
1974 832.4 29.7695890410959 18.1046575342466
1975 988.4 29.6567123287671 18.0487671232877
1976 1533.9 27.8625683060109 17.2267759562842
1977 1027.3 29.5575342465753 17.8175342465753
1978 678 29.2794520547945 18.2019178082192
1979 780.9 29.1208219178082 17.9890410958904
1980 552.2 29.7718579234973 18.3087431693989
1981 1217.7 29.1931506849315 18.0890410958904
1982 488.1 30.4876712328767 18.3479452054795
1983 758.2 29.6506849315068 17.7671232876712
1984 1021.7 29.3497267759563 17.9412568306011
1985 846.3 29.5876712328767 18.0602739726027
1986 654.2 30.5219178082192 18.0186301369863
1987 519.4 30.327397260274 17.0712328767123
1988 902.4 29.1232876712329 17.6821917808219
1989 590 29.9953424657534 17.9084931506849
1990 699.9 29.9019178082192 18.3876712328767
1991 1472.8 29.7520547945205 19.4917808219178
1992 828.2 28.8780120481928 18.330421686747
1993 808.1 29.0802816901408 17.2014084507042
1994 1000.9 29.7521126760563 18.0323943661972
1995 878 30.0013698630137 17.9369863013699
1996 575.2 30.1270491803279 17.1092896174863
1997 1017.6 29.7224657534247 17.1616438356164
1998 516.6 31.2369863013699 18.5616438356164
1999 189.6 30.7684931506849 17.327397260274
2000 193.7 31.4863387978142 17.2103825136612
2001 637.9 31.3082191780822 17.5205479452055
2002 692.6 31.358904109589 17.1704109589041
2003 344.5 30.9539473684211 15.8108552631579
2004 634.2 31.6092896174863 16.9986338797814
2005 915.4 31.7534246575342 17.0232876712329
2006 477.9 33.0575342465753 16.8383561643836
2007 1064.8 30.8301369863014 16.713698630137
2008 1458.5 32.0601092896175 16.4945355191257
2009 579.9 32.1988950276243 18.1582872928177
