"anio" "ppAcc" "mTmax" "mTmin"
1970 185 35.8520547945205 13.2356164383562
1971 205.2 31.2351020408163 12.5265306122449
1972 394.5 32.5368852459016 14.3199453551913
1973 214.8 30.5712328767123 11.5452054794521
1974 240.2 33.5874587458746 12.953795379538
1975 188.5 35.309880239521 17.9221556886228
1976 67 34.4013157894737 15.2763157894737
1977 269.1 27.7890410958904 18.9068493150685
1978 303.5 29.9971181556196 21.6613832853026
1979 143.3 30.0880597014925 20.210447761194
1980 242 34.672131147541 18.25
1981 405 34.6054794520548 17.4684931506849
1982 292.8 35.1643835616438 16.158904109589
1983 644.9 34.4986301369863 16.5575342465753
1984 691.2 34.5300546448087 16.6584699453552
1985 262.2 34.4575342465753 16.4109589041096
1986 358.4 35.5082191780822 17.327397260274
1987 320.8 35.1616438356164 15.727397260274
1988 343.1 34.8879781420765 16.1379781420765
1989 427.3 34.5849315068493 16.6191780821918
1990 521.8 35.1547945205479 16.4356164383562
1991 442.3 34.3342465753425 16.3767123287671
1992 509 34.1356164383562 16.8630136986301
1993 270.3 34.1479452054795 16.8438356164384
1994 608.4 34.3780821917808 16.1767123287671
1995 398.7 35.2906593406593 12.7304945054945
1996 419.5 33.5800546448087 15.4699453551913
1997 368.5 32.7493112947658 15.6845730027548
1998 469.3 33.3263736263736 14.2225274725275
1999 412.6 33.8260273972603 13.9
2000 518.8 33.707650273224 14.5896174863388
2001 345.5 33.9397260273973 15.1753424657534
2002 331.1 34.6035616438356 14.8054794520548
2003 330 34.0027397260274 15.5821917808219
2004 430.4 33.431693989071 15.8428961748634
2005 364 33.6328767123288 15.2369863013699
2006 332 34.1808219178082 15.4342465753425
2007 489.7 34.3082191780822 14.2904109589041
2008 428.2 33.4549180327869 14.4535519125683
2009 542 33.4232876712329 15.1328767123288
