"cuenca" "S" "tau" "var" "pvalue"
1 46 0.0589743591845036 7366.66650390625 0.600072264671326
2 -61 -0.0823211893439293 6833.66650390625 0.46795380115509
3 -102 -0.130769237875938 7366.66650390625 0.239293456077576
4 -160 -0.205128207802773 7366.66650390625 0.0639519691467285
5 -54 -0.0692307725548744 7366.66650390625 0.536901772022247
6 14 0.0179487187415361 7366.66650390625 0.879610061645508
7 -14 -0.0179487187415361 7366.66650390625 0.879610121250153
8 -48 -0.0615384615957737 7366.66650390625 0.583967506885529
9 -18 -0.0230769235640764 7366.66650390625 0.842992186546326
10 -74 -0.0948717966675758 7366.66650390625 0.395032942295074
