"cuenca" "mes" "S" "tau" "var" "pvalue"
1 6 106 0.135897442698479 7366.66650390625 0.221194267272949
1 8 198 0.253846168518066 7366.66650390625 0.0217186212539673
2 3 93 0.125506073236465 6833.66650390625 0.265746116638184
2 5 -125 -0.168690964579582 6833.66650390625 0.13361120223999
2 6 -183 -0.246963560581207 6833.66650390625 0.0276913940906525
2 11 159 0.214574903249741 6833.66650390625 0.0559653043746948
3 2 -96 -0.123076923191547 7366.66650390625 0.268359482288361
3 3 224 0.287179499864578 7366.66650390625 0.00937187671661377
3 5 -150 -0.192307695746422 7366.66650390625 0.082563079893589
3 11 168 0.215384617447853 7366.66650390625 0.0516880750656128
4 1 -140 -0.180648922920227 7350 0.104947097599506
4 8 -96 -0.123076923191547 7366.66650390625 0.268359482288361
4 12 -101 -0.130750492215157 7338.33349609375 0.243068814277649
5 7 -118 -0.1512820571661 7366.66650390625 0.172828584909439
5 11 -117 -0.150289297103882 7363 0.176421225070953
6 2 -92 -0.118712142109871 7350 0.288487434387207
6 11 -103 -0.132136002182961 7365.66650390625 0.234641849994659
6 12 -130 -0.16974113881588 7301.33349609375 0.131121769547462
7 2 -150 -0.192307695746422 7366.66650390625 0.082563079893589
7 5 -124 -0.15897436439991 7366.66650390625 0.151835724711418
7 12 -110 -0.141025647521019 7366.66650390625 0.204097926616669
8 12 -120 -0.154841929674149 7350 0.16512356698513
9 6 -136 -0.174358978867531 7366.66650390625 0.11574437469244
9 7 -112 -0.143589749932289 7366.66650390625 0.195919468998909
9 10 142 0.182051286101341 7366.66650390625 0.100425124168396
10 1 108 0.138461545109749 7366.66650390625 0.212521910667419
10 3 -96 -0.123076923191547 7366.66650390625 0.268359482288361
10 10 95 0.128205135464668 6833.66650390625 0.255493879318237
10 11 93 0.125506073236465 6833.66650390625 0.265746116638184
