"cuenca" "S" "tau" "var" "pvalue"
1 352 0.451282054185867 7366.66650390625 4.32729721069336e-05
2 105 0.141700401902199 6833.66650390625 0.208364725112915
3 270 0.346153855323792 7366.66650390625 0.00172364711761475
4 384 0.49230769276619 7366.66650390625 8.10623168945312e-06
5 268 0.343589752912521 7366.66650390625 0.00186562538146973
6 244 0.31282052397728 7366.66650390625 0.00463736057281494
7 296 0.379487186670303 7366.66650390625 0.000588059425354004
8 332 0.425641030073166 7366.66650390625 0.000115036964416504
9 278 0.356410264968872 7366.66650390625 0.00124943256378174
10 150 0.192307695746422 7366.66650390625 0.082563042640686
