"cuenca" "mes" "S" "tau" "var" "pvalue"
1 5 174 0.223076924681664 7366.66650390625 0.0438387393951416
1 6 172 0.220512822270393 7366.66650390625 0.0463352203369141
1 7 300 0.384615391492844 7366.66650390625 0.000494599342346191
1 8 352 0.451282054185867 7366.66650390625 4.32729721069336e-05
1 9 284 0.364102572202682 7366.66650390625 0.000976443290710449
1 10 144 0.184615388512611 7366.66650390625 0.0956939458847046
2 6 345 0.465587049722672 6833.66650390625 3.1590461730957e-05
2 7 261 0.352226734161377 6833.66650390625 0.00165975093841553
2 8 265 0.35762482881546 6833.66650390625 0.00140523910522461
2 9 167 0.225371122360229 6833.66650390625 0.0446346998214722
2 12 -143 -0.192982450127602 6833.66650390625 0.0858411565423012
3 2 296 0.379487186670303 7366.66650390625 0.000588059425354004
3 7 196 0.251282066106796 7366.66650390625 0.0230894088745117
3 8 264 0.338461548089981 7366.66650390625 0.00218236446380615
4 6 146 0.187179490923882 7366.66650390625 0.0911427736282349
4 12 -224 -0.287179499864578 7366.66650390625 0.00937191490083933
5 6 -166 -0.212820515036583 7366.66650390625 0.0545528344810009
5 12 -250 -0.32051283121109 7366.66650390625 0.00371845928020775
6 2 206 0.264102578163147 7366.66650390625 0.0169190168380737
6 12 -146 -0.187179490923882 7366.66650390625 0.0911427959799767
7 6 -202 -0.258974373340607 7366.66650390625 0.0191880073398352
7 7 -234 -0.300000011920929 7366.66650390625 0.00663375947624445
7 12 -244 -0.31282052397728 7366.66650390625 0.00463734893128276
8 2 212 0.271794885396957 7366.66650390625 0.0139570236206055
8 6 234 0.300000011920929 7366.66650390625 0.00663375854492188
8 7 188 0.241025641560555 7366.66650390625 0.029350757598877
8 8 258 0.330769240856171 7366.66650390625 0.00275063514709473
8 9 188 0.241025641560555 7366.66650390625 0.029350757598877
10 2 200 0.256410270929337 7366.66650390625 0.0204191207885742
10 8 176 0.225641027092934 7366.66650390625 0.041456937789917
10 9 218 0.279487192630768 7366.66650390625 0.0114624500274658
